interaction,ligand,receptor,type,classification,source
NLGN1->-NRXN1,NLGN1,NRXN1,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN1->-NRXN2,NLGN1,NRXN2,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN1->-NRXN3,NLGN1,NRXN3,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN2->-NRXN1,NLGN2,NRXN1,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN2->-NRXN2,NLGN2,NRXN2,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN2->-NRXN3,NLGN2,NRXN3,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN3->-NRXN1,NLGN3,NRXN1,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN3->-NRXN2,NLGN3,NRXN2,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN3->-NRXN3,NLGN3,NRXN3,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN3->-PTPRD,NLGN3,PTPRD,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN4X->-NRXN1,NLGN4X,NRXN1,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN4X->-NRXN2,NLGN4X,NRXN2,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN4X->-NRXN3,NLGN4X,NRXN3,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN4Y->-NRXN1,NLGN4Y,NRXN1,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN4Y->-NRXN2,NLGN4Y,NRXN2,contact,Signaling by Neuroligin,CellPhoneDB-v5
NLGN4Y->-NRXN3,NLGN4Y,NRXN3,contact,,CellPhoneDB-v5
NMB->-GRPR,NMB,GRPR,diffusion,Signaling by Neuromedin,CellPhoneDB-v5
NMB->-NMBR,NMB,NMBR,diffusion,Signaling by Neuromedin,CellPhoneDB-v5
NMS->-NMUR1,NMS,NMUR1,diffusion,Signaling by Neuromedin,CellPhoneDB-v5
NMS->-NMUR2,NMS,NMUR2,diffusion,Signaling by Neuromedin,CellPhoneDB-v5
NMU->-NMUR1,NMU,NMUR1,diffusion,Signaling by Neuromedin,CellPhoneDB-v5
NMU->-NMUR2,NMU,NMUR2,diffusion,Signaling by Neuromedin,CellPhoneDB-v5
NODAL->-ACVR1B_ACVR2A_CFC1,NODAL,ACVR1B_ACVR2A_CFC1,diffusion,Signaling by NODAL,CellPhoneDB-v5
NODAL->-ACVR1B_ACVR2A_TDGF1,NODAL,ACVR1B_ACVR2A_TDGF1,diffusion,Signaling by NODAL,CellPhoneDB-v5
NODAL->-ACVR1B_ACVR2B_CFC1,NODAL,ACVR1B_ACVR2B_CFC1,diffusion,Signaling by NODAL,CellPhoneDB-v5
NODAL->-ACVR1B_ACVR2B_TDGF1,NODAL,ACVR1B_ACVR2B_TDGF1,diffusion,Signaling by NODAL,CellPhoneDB-v5
NODAL->-ACVR1C_ACVR2B_CFC1,NODAL,ACVR1C_ACVR2B_CFC1,diffusion,Signaling by NODAL,CellPhoneDB-v5
NODAL->-ACVR1C_ACVR2B_TDGF1,NODAL,ACVR1C_ACVR2B_TDGF1,diffusion,Signaling by NODAL,CellPhoneDB-v5
NPB->-NPBWR1,NPB,NPBWR1,diffusion,Signaling by Neuropeptide precursor,CellPhoneDB-v5
NPB->-NPBWR2,NPB,NPBWR2,diffusion,Signaling by Neuropeptide precursor,CellPhoneDB-v5
NPFF->-NPFFR1,NPFF,NPFFR1,diffusion,Signaling by Neuropeptide precursor,CellPhoneDB-v5
NPFF->-NPFFR2,NPFF,NPFFR2,diffusion,Signaling by Neuropeptide precursor,CellPhoneDB-v5
NPPA->-NPR1,NPPA,NPR1,diffusion,Signaling by Neuropeptide precursor,CellPhoneDB-v5
NPS->-NPSR1,NPS,NPSR1,diffusion,Signaling by Neuropeptide precursor,CellPhoneDB-v5
NPW->-NPBWR1,NPW,NPBWR1,diffusion,Signaling by Neuropeptide precursor,CellPhoneDB-v5
NPW->-NPBWR2,NPW,NPBWR2,diffusion,Signaling by Neuropeptide precursor,CellPhoneDB-v5
